h_name,pincode,contact
Civil Hospital Blood Bank,NA,NA
Civil Hospital blood bank,NA,NA
O.N.G.C. Ltd. Hospital Blood Bank,NA,NA
Kanaklata Civil Hospital Blood Bank,NA,NA
"Tinsukia Civil Hospital Blood Bank,(L.G.B.)",NA,NA
Indian Oil Corporation Ltd. Hospital Blood Bank,786171,NA
Central Hospital North Eastern Coalfields,NA,NA
Lower Assam Hospital blood bank,783380,NA
Barak Blood Bank & Clinical Research Centre,5,NA
Tata Tea Ltd. Referral Hospital & Research Centre blood bank,NA,NA
Dr. Damani?s Nursing Home Blood Bank,NA,NA
Marwari Arogya Bhawan & Hospital Blood Bank,NA,NA
Aditya Diagnostic Hospital Blood Bank,NA,NA
Blood bank of Srimanta Sankardeva Hospital & Research Centre,NA,NA
Dirial Central Hospital blood bank,NA,NA
Blood bank of Solace Hospital & Research Centre (P) Ltd.,NA,NA
Vivekananda Kendra NRL Hospital Blood Bank,785621,NA
Aparajita Blood Bank,785001,NA
Jorhat Medical College Hospital Blood Bank,785001,NA
Air Force Hospital Blood Bank,NA,NA
G.N.R.C Hospital Blood Bank,785006,NA
Assam Gujarat Voluntary Blood Bank and Research Centre,NA,NA
Blood Bank Down Town Hospital,785006,NA
Ganga Blood Bank,781007,NA
Dispur blood bank,NA,NA
Central Nursing Home Blood Bank,NA,NA
Saharias Blood Bank,NA,NA
International Hospital blood bank,NA,NA
Surakhya blood bank,781008,NA
Marwari Hospital & Research Centre blood bank,NA,NA
"151, Base Hospital Blood Bank",NA,NA
Central Hospital N.F. Railway,781011,NA
Haji Abdul Memorial Hospital & Research Centre blood bank,NA,NA
North East blood bank & Research Centre,NA,NA
Divisional Railway Hospital blood bank,NA,NA
Nalbari Maternity Hospital blood bank,NA,NA
Sharma Nursing Home,NA,NA
"Pragati Hospital & Research Centre, Blood Bank",NA,NA
155 Base Hospital Blood Bank,NA,NA
Catholic Hospital Blood Bank,784167,NA
Tinsukia Blood Bank,NA,NA
Sankar Madhab Medical College and Hospital,NA,NA
Greater Jorhat Lions Blood Bank,NA,NA
Hayat Hospital Blood Bank,NA,NA
Fakhruddin Ali Ahmed Medical College Hospital Blood Bank,NA,NA
Rahman Hospital Pvt. Ltd.Blood Bank,22,NA
Sanjevani Hospital Blood Bank,781011,NA
St. Luke Hospital Blood Bank,72,NA
Sukhada Hospital & Diagnostic Centre BB,NA,NA
Satribari Christian Hospital blood bank,NA,NA
Barpeta Civil Hospital,NA,NA
GNRC Institute of Medical Sciences,NA,NA
"Narayana Hrudayalaya Pvt. Ltd, Blood Bank",NA,NA
S. K. Roy Civil Hospital,NA,NA
Mahendra Mohan Chaudhury Hospital,1,NA
R.N.B. Civil Hospital,NA,NA
Morigaon Civil Hospital,NA,NA
SMK Civil Hospital,NA,NA
Sivasagar Civil Hospital,NA,NA
Maa Vindhyawasini Blood Bank,NA,NA
A.N. Magadh Medical College Hospital Blood Bank,823001,NA
Anupam Voluntary blood bank,NA,NA
Bharat Blood Bank,800003,NA
Blood bank Indian Red Cross Society,854301,NA
Blood Bank and Research Centre,NA,NA
Bose Clinic Blood Bank,NA,NA
Sadar Hospital,NA,NA
Kurji Holy Family Hospital Blood Bank,800010,"0612 2262540, 0612 2264117"
National blood bank and Research Centre,NA,0612 2355575
Nalanda Medical College and Hospital Blood Bank,NA,NA
Military Hospital Blood Bank,NA,NA
Lions Mahavir Cancer Sansthan Blood Bank,NA,NA
Tripolia Social Service Hospital and Blood Bank,NA,0612 2311065
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,843302,NA
Sadar Sub Divisional Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,NA,0611 2236186
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,811201,NA
Shashi Blood Bank,800004,0612 2303365
"Rastra Kavi Dinkar Blood Bank ,Sadar Hospital",851101,NA
Sri Krishna Medical College and Hospital Blood Bank,NA,NA
"Regional blood bank,DMCH, Darbhanga",846003,NA
Patliputra Blood Bank,NA,0612 2300840
"Bihar State blood bank,PMCH",800004,0612 2300334
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,NA,NA
"Red Cross Blood Bank, Indian Red Cross Society",800001,0612 2201035
Sadar Hospital Blood Bank,NA,NA
State of the Art Model Blood Bank,800020,0612 2355805
Palm View Hospital Blood Bank,NA,NA
Lion?s Jeevan Blood Bank,NA,NA
Indira Gandhi Institute of Cardiology Blood Bank,NA,NA
Regional Blood Bank,NA,0641 2409555
Rajendra Prasad Memorial Rotary Blood Bank,NA,NA
Sadar Hospital blood bank,NA,NA
Duncan Hospital,NA,NA
Hai Medicare and Research Institute,NA,NA
"Indian Red Cross Blood Bank,IRCS Blood Bank, Motihari",845401,NA
"IGIMS, Patna",800014,"0612 2297631, 0612 2297099"
M.J.K. Hospital Blood Bank,NA,NA
Katihar Medical College Blood Bank,NA,"06452 39202,06452 39204"
Life Line Blood Bank,NA,0612 2301600
Life Care Blood Bank and transfusion Services,NA,NA
Late Sajjan Kr. Agarwal Blood Bank,805110,NA
Mata Gujri Memorial (M.G.M.),855107,06456 223475
R.B. Memorial Hospital,NA,NA
Sadar Hospital Blood Bank,NA,NA
Sadar Hospital Blood Bank,NA,NA
Nazareth Hospital Blood Bank,NA,NA
Narayana Medical College and Hospital,NA,06184 281888
Mahavir Vaatsalya Blood Bank,NA,NA
Sadar Hospital,811105,NA
Sadar Hospital,NA,NA
Sadar Hospital,852201,NA
"Micro Blood Bank, Raj Colony",NA,NA
Sadar Hospital Blood Bank,841226,NA
Red Cross Society,848101,NA
"Indian Red Cross Blood Bank,IRCS Blood Bank, Ara",802301,NA
Sadar Hospital,824101,NA
Sadar Hospital,811311,NA
Sadar Hospital,848101,NA
Nalanda Blood Bank,803101,NA
Sadar Hospital,NA,NA
Sadar Hospital,821101,NA
Sadar Hospital,811307,NA
Sadar Hospital,804408,NA
Sadar Hospital,NA,NA
Sadar Hospital,NA,NA
Hi-Tech Emergency Hospital Blood Bank,NA,0612 3262107
Sinha Blood Bank,NA,NA
Patna City Blood Bank,800026,NA
Bhagwan Mahabir blood bank,NA,NA
Blood Bank P.N.H.,841226,06154 245245
Paras Hmri Hospital,800014,0612 7107777
Ruban Memorial Hospital,NA,NA
Lord Buddha Koshi Medical College and Hospital,852201,NA
S.K.D.K.M. Hospital,842004,NA
Shrishti Blood Bank,800020,NA
Jeevan Rekha Blood Bank,800014,NA
Lord Budhdha Koshi Medical College,NA,NA
Krishna Devi Devi Prasad Kejriwal Maternity Hospital,NA,NA
"NMCH, Patna",800007,NA
"Sadar Hospital, Ara",432446,NA
"Sadar Hospital, Buxar",802102,NA
"Sadar Hospital, Gopalganj",841428,NA
"Sadar Hospital , Katihar",854105,NA
"Sadar Hospital, Khagaria",851204,NA
"Sadar Hospital, Kishanganj",855107,NA
Sadar Hospital,852113,NA
Sadar Hospital,847211,NA
Sadar Hospital Muzaffarpur,842001,NA
Sadar Hospital,803101,NA
MJK Hospital,845438,NA
Sadar Hospital,821115,NA
Sadar Hospital,841301,NA
Sadar Hospital,811105,NA
Sadar Hospital Hajipur,NA,NA
"Department of Transfusion Medicine, PGIMER",160012,0172 2756481
Rotary & Blood Bank Society Resource Centre,160037,0172 2696057
"Department of Transfusion Medicine,",160032,0172 2665253
"Government Multispecialty Hospital, .",160016,0172 2768244
Dhamtari Christian Hospital,NA,NA
B.S.R. Cancer Hospital,NA,NA
"Thawait Blood Bank, Rajiv Gandhi Complex",NA,0771 4221709
City Blood Bank,NA,NA
Holy Cross Hospital Ambikapur,NA,07774 223733
Sai Sahara Blood Bank,NA,0771 2551050
Apollo Hospital Blood Bank,NA,07552 248300
Modern Medical Institute Lalpur,NA,"0771 4212761,0771 4212762"
United Blood Bank,NA,NA
SSD Blood Bank,NA,NA
Chandulal Chandrakar Memorial Hospital Blood Bank,NA,NA
"Chhattisgarh Blood Bank, Agrawal Hospital Parisar",NA,NA
Bilasa Blood Bank,NA,NA
Bilasa Blood Bank,NA,0771 4009304
Bilasa Blood Bank,NA,NA
Tej Blood Bank,NA,NA
Gayatri Blood Bank,NA,NA
Ramkrishna Ashram Blood Bank,NA,NA
Chritian Hospital Blood Bank,NA,NA
Shrishti Blood Bank,NA,0771 4095493
OPJHRC Blood Bank,NA,NA
Shree Narayana Hospital Blood Bank,NA,0771 4218333
Rajdhani Blood Bank,NA,0771 2292250
Evangelical Mission Hospital Blood Bank,NA,NA
Ekta Blood Bank,NA,NA
Raipur Institute of Medical Science Blood Bank,NA,NA
CM Medical College & Hospital Blood Bank,NA,NA
Sewa Blood Bank,NA,NA
Ashirwad Blood Bank,NA,NA
NMDC Apollo Hospital Blood Bank,NA,07857 230050
Nehru Centenary Hospital Blood Bank,NA,NA
J.N.L. Hospital & Research Center Blood Bank,NA,"0788 2227814,0788 2241926"
NMDC Project Hospital Blood Bank,NA,07857 255229
Red Cross Blood Bank (BCSU),NA,07712 880111
B.R.A. Hospital Blood Bank,NA,NA
District Hospital Blood Bank Durg (BCSU),NA,0788 2322808
Civil Surgeon,NA,NA
CIMS Blood Bank(BCSU),NA,NA
Civil Surgeon,NA,NA
Civil Surgeon,NA,NA
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,NA
Maharani Hospital (BCSU),NA,07786 2231669
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank Dhamtari,NA,NA
Civil Surgeon Dist. Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,NA
Model Blood Bank (BCSU),NA,NA
District Hospital Blood Bank (BCSU),NA,NA
District Hospital Blood Bank Rajnanadagaon,NA,NA
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,NA
"Indian Red Cross Society, Red Cross House",396230,"0260 2640911, 0260 2640577"
"Daman Raktdan Kendra, Marwad Hospital Campus",396210,NA
"Diu Blood Bank, Government Hospital",362520,NA
All India Institute of Medical Sciences (AIIMS),110029,"011 26594438, 011 26594400"
Armed Forces Transfusion Centre,110010,011 23336685
Dr. Ram Manohar Lohia Hospital,110001,"011 23404292, 011 23404298"
E.S.I. Hospital,110015,"011 25970808, 011 25100664"
Safdarjung Hospital,110029,"011 26707254, 011 26707124"
Sucheta Kriplani Hospital,110001,011 23408271
Govind Ballabh Pant Hospital,110002,011 23234242
Guru Tegh Bahadur Hospital,110095,011 22590148
Regional Blood tranfusion Center of Central zone,110002,"011 23233809, 011 23231023"
Sushrut Trauma Centre,110054,"011 23906014, 011 23906028"
Sanjay Gandhi Memorial Hospital,110083,"011 27922843, 011 27916137"
Dr. Baba Sahab Ambedkar Hospital,110085,"011 27049950, 011 27055585"
Institute of Liver and Biliary Sciences,110070,011 46300000
Lal Bahadur Shastri Hospital,110091,"011 22786688, 011 22223167, 011 22774145, 011 22774146, 011 22786828, 011 22786818, 011 22778282"
Hindu Rao Hospital,110007,011 23905713
Kasturba Gandhi Hospital,110002,"011 23275023, 011 23275024"
Swami Dayanand Hospital,110095,"011 22581031, 011 22583809"
Holy Family Hospital,110025,011 26332800
Mata Chanan Devi Hospital,110058,"011 45582193, 011 45582194"
Shri Moolchand Khariti-ram Hospital and Ayurvedic Research Institute,110024,011 42000476
National Heart Institute,110065,"011 26414156, 011 26414157"
Sunder Lal Jain Charitable Hospital,110055,011 47030900
St. Stephens Hospital,110055,"011 23966021, 011 23966022, 011 23966023, 011 23966024"
"Pushpawati Singhania Research Institute (For Liver, Renal and Digestive Disease)",110017,011 30611871
Maharaja Agrasen Hospital,110026,"40777777, Extension 6700"
Delhi Heart and Lung Institute,110055,"011 42999999, 011 42988899, 011 23538351"
Shree Balaji Action Medical Institute,110063,"011 42888888, 011 45666666"
"Max Super Specialty Hospital, Heart and Vascular Institute( A Unit of Devki Devi Foundation Institute)",110017,"011 26515050, 011 26505252"
Dr. BL Kapoor Memorial Hospital,110005,"011 30653095, 011 30653926"
Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC),110015,011 45005700
Park Hospital,110018,011 45323232
Fortis Hospital,110088,011 45302222
Bhagat Chandra Hospital,110045,011 45254525
Indian Spinal Injuries Centre,110070,011 42255387
Saket City Hospital,110017,"011 40699999, 011 71211062"
Bensups Hospital,110075,011 45017615
Indian Red Cross Society,110001,"011 23716441, 011 23716442, 011 23716443,011 23716426, 011 23716916, 011 23711551, 011 23716441"
Rockland Hospital Qutab,110016,011 47667357
Primus Ortho and Spine Hospital,110021,"011 66206630, 011 66206640"
Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd),110088,011 66422222
Hakeem Abdul Hameed Centenary Hospital,110062,011 26059668
White Cross Blood Bank,110065,"011 26831063, 011 26844140"
Mission Jan Jagriti,110026,011 47053443
Pitampura Blood Bank,110034,NA
Lions Blood Bank,110088,"011 42258080,011 47122000"
Batra Hospital and Medical Research Centre,110062,"011 29958747 , 011 29957487"
Blood Bank Organisation,110005,"011 25721870, 011 25721870"
Rotary Blood Bank,110062,"011 29054068, 011 29054066,011 29962078"
"Mission Jan Jagriti Blood Bank, Altius Sonia Hospital",110041,"011 30580345, 011 30777777"
Dharamshila Cancer Foundation and Research Centre,110096,"011 43066424 ,011 43066425, 011 43066432, 011 22617771, 011 22617772, 011 22617773, 011 22617774,011 22617775, 011 43066407"
Sir Ganga Ram Hospital,110060,"011 42251800, 011 42251868,011 42251869,011 42251872, 011 25750000, 011 25751111, 011 25735205, 011 25861463"
Sant Parmanand Hospital,110054,"011 23994401, 011 23994402, 011 23994405, 011 23994410"
"R. B. T. C (wz),Deen Dayal Upadhyay Hospital",110064,"011 25129345, 011 25494403, 011 25494405"
Jai Prakash Narayan Apex Trauma Centre,110029,"011 26731166, 011 26731179, 011 26731169, 011 26108000, 011 26109000"
Brahm Shakti Hospital and Research Centre,110084,"011 27537894, 011 27532428, 011 27531683, 011 27537967"
Max Super Specialty Hospital (Max Balaji Hospital),110092,"011 66242515, 011 43033333"
Saroj Hospital and Heart Institute Run by Ganesh Das Chowla Charitable Trust (Regd.),110085,"011 27903333, 011 27903276"
Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.),110070,011 42776222
Rajiv Gandhi Cancer Institute and Research Center,110085,"011 47022222, 011 27051011"
Apollo Hospital,110044,"011 26925801, 011 26925858, 011 26825707"
Fortis Escort Heart Institute,110025,011 26825053
Northern Railway Central Hospital,110055,"011 23747989011 23744150, 011 23744170"
Jaipur Golden Hospital,110085,NA
Dr.Hedgewar ArogayaSansthan,110032,"011 22301148, 011 22301149, 011 22309407"
Central Poly Clinic Blood Bank,110051,NA
Lions Blood Bank,110092,NA
Pushpavati Shinghania Research Institute for Liver,110017,NA
"Cardio Neuro Centre, AIIMS",110029,"011 26593625, 011 26593749"
Jan Jagriti Blood bank,110092,NA
"Goa Medical college, Bambolim-Goa",403202,"0832 2458724, 0832 2495061, 0832 2495188"
Hospicio Hospital Blood Bank,403601,"0832 2703801, 0832 2705664"
Apollo Victor Hospital Blood Bank,NA,0832 2728888
Vivus SMRC Heart Centre Blood Bank,NA,0832 6691630
District Hospital,403507,NA
Sheth V.S. General Hospital and Shree NHL Municipal Medical College,380006,079 26577621
Smt. Laxmiben Chimanlal Lalbhai Blood Bank,380018,"079 22164261, 079 22924264"
Sheth L.G. General Hospital and Blood Bank,380008,"079 25461380,079 25461384"
Civil Hospital,380016,"079 22683949, 079 22683721"
Civil Hospital,NA,"079 27432584, 079 27474359"
Military Hospital Blood Bank,380003,NA
Indian Red Cross Society Blood Bank,380007,"079 26651833, 079 26650855"
Gujarat Cancer Research Institute,380016,"079 22681451, 079 22688061, 079 22688062079 2268 8000"
Smt. G R Doshi and Smt. K M Mehta Institute of Kidney Disease and Research Centre,380016,"079 22687164, 079 22687165079 22687000, 07922685609"
Dr. Jivraj Mehta Smarak Health FoundationBakeri Medical Research Centre,380007,"079 22687164, 079 22687143"
Prathma Blood Center,380007,079 26600101
White Cross Blood Bank,NA,079 22815227
Adarsh Voluntary Blood Bank,NA,079 22749146/6672
Ami Pathology Laboratory and Blood Bank,NA,079 27501202
Gujarat Blood Bank (Voluntary) and Pathology Laboratory and R.I.A. Unit,NA,079 27413719
Karnavati Blood Bank (Voluntary) and Pathology Laboratory,380013,079 27415150
"Gujarat Blood Bank (Trust), Pathology Laboratory",380006,"079 26586480, 26584893, 66314721"
Cross + World Blood bank (Voluntary) and Sankalp Diagnostics,380013,"079 26568004, 26401959, 30026671"
Maha Gujarat Blood Bank (Vol) and Pathology Laboratory,380008,"079 25451331, 25461641"
